id,Day,Month,Day_of_Week,Week_in_Year,Weekend,Holiday,Season,,,,,
2020-09-01,1,September,Tuesday,36,No,No,Summer,,,,,
2020-09-02,2,September,Wednesday,36,No,No,Summer,,,,,
2020-09-03,3,September,Thursday,36,No,No,Summer,,,,,
2020-09-04,4,September,Friday,36,No,No,Summer,,,,,
2020-09-05,5,September,Saturday,36,Yes,No,Summer,,,,,
2020-09-06,6,September,Sunday,36,Yes,No,Summer,,,,,
2020-09-07,7,September,Monday,37,No,Labour Day,Summer,,,,,
2020-09-08,8,September,Tuesday,37,No,No,Summer,,,,,
2020-09-09,9,September,Wednesday,37,No,No,Summer,,,,,
2020-09-10,10,September,Thursday,37,No,No,Summer,,,,,
2020-09-11,11,September,Friday,37,No,No,Summer,,,,,
2020-09-12,12,September,Saturday,37,Yes,No,Summer,,,,,
2020-09-13,13,September,Sunday,37,Yes,No,Summer,,,,,
2020-09-14,14,September,Monday,38,No,No,Summer,,,,,
2020-09-15,15,September,Tuesday,38,No,No,Summer,,,,,
2020-09-16,16,September,Wednesday,38,No,No,Summer,,,,,
2020-09-17,17,September,Thursday,38,No,No,Summer,,,,,
2020-09-18,18,September,Friday,38,No,No,Summer,,,,,
2020-09-19,19,September,Saturday,38,Yes,No,Summer,,,,,
2020-09-20,20,September,Sunday,38,Yes,No,Summer,,,,,
2020-09-21,21,September,Monday,39,No,No,Summer,,,,,
2020-09-22,22,September,Tuesday,39,No,No,Summer,,,,,
2020-09-23,23,September,Wednesday,39,No,No,Autumn,,,,,
2020-09-24,24,September,Thursday,39,No,No,Autumn,,,,,
2020-09-25,25,September,Friday,39,No,No,Autumn,,,,,
2020-09-26,26,September,Saturday,39,Yes,No,Autumn,,,,,
2020-09-27,27,September,Sunday,39,Yes,No,Autumn,,,,,
2020-09-28,28,September,Monday,40,No,No,Autumn,,,,,
2020-09-29,29,September,Tuesday,40,No,No,Autumn,,,,,
2020-09-30,30,September,Wednesday,40,No,No,Autumn,,,,,
2020-10-01,1,October,Thursday,40,No,No,Autumn,,,,,
2020-10-02,2,October,Friday,40,No,No,Autumn,,,,,
2020-10-03,3,October,Saturday,40,Yes,No,Autumn,,,,,
2020-10-04,4,October,Sunday,40,Yes,No,Autumn,,,,,
2020-10-05,5,October,Monday,41,No,No,Autumn,,,,,
2020-10-06,6,October,Tuesday,41,No,No,Autumn,,,,,
