Mobility_surrogate_key,Mobility_key,Date,Metro_area,Subregion,Province,Retail_and_recreation,Grocery_and_pharmacy,Park,Transit_stations,Workplaces,Residential
0,ChIJmcB2guBn0UwRr0RW_iic0LY20200901,2020-09-01,,Ottawa,Ontario,-18.0,-4.0,47.0,-59.0,-57.0,16.0
1,ChIJmcB2guBn0UwRr0RW_iic0LY20200902,2020-09-02,,Ottawa,Ontario,-22.0,-6.0,8.0,-62.0,-57.0,17.0
2,ChIJmcB2guBn0UwRr0RW_iic0LY20200903,2020-09-03,,Ottawa,Ontario,-13.0,2.0,77.0,-56.0,-56.0,15.0
3,ChIJmcB2guBn0UwRr0RW_iic0LY20200904,2020-09-04,,Ottawa,Ontario,-22.0,-5.0,61.0,-54.0,-53.0,14.0
4,ChIJmcB2guBn0UwRr0RW_iic0LY20200905,2020-09-05,,Ottawa,Ontario,-18.0,-5.0,0,-40.0,-4.0,1.0
5,ChIJmcB2guBn0UwRr0RW_iic0LY20200906,2020-09-06,,Ottawa,Ontario,-3.0,9.0,0,-39.0,4.0,-2.0
6,ChIJmcB2guBn0UwRr0RW_iic0LY20200907,2020-09-07,,Ottawa,Ontario,-57.0,-55.0,29.0,-77.0,-84.0,21.0
7,ChIJmcB2guBn0UwRr0RW_iic0LY20200908,2020-09-08,,Ottawa,Ontario,-17.0,6.0,13.0,-58.0,-58.0,16.0
8,ChIJmcB2guBn0UwRr0RW_iic0LY20200909,2020-09-09,,Ottawa,Ontario,-24.0,-7.0,2.0,-61.0,-57.0,18.0
9,ChIJmcB2guBn0UwRr0RW_iic0LY20200910,2020-09-10,,Ottawa,Ontario,-18.0,-1.0,21.0,-58.0,-56.0,17.0
10,ChIJmcB2guBn0UwRr0RW_iic0LY20200911,2020-09-11,,Ottawa,Ontario,-24.0,-9.0,78.0,-53.0,-52.0,15.0
11,ChIJmcB2guBn0UwRr0RW_iic0LY20200912,2020-09-12,,Ottawa,Ontario,-15.0,-3.0,175.0,-36.0,0.0,2.0
