Reported_date_surrogate_key,Reported_date_key,Date,Day,Month,Day_of_Week,Week_in_Year,Weekend,Holiday,Season
0,Re20200901,2020-09-01,1,September,Tuesday,36,No,No,Summer
1,Re20200902,2020-09-02,2,September,Wednesday,36,No,No,Summer
2,Re20200903,2020-09-03,3,September,Thursday,36,No,No,Summer
3,Re20200904,2020-09-04,4,September,Friday,36,No,No,Summer
4,Re20200905,2020-09-05,5,September,Saturday,36,Yes,No,Summer
5,Re20200906,2020-09-06,6,September,Sunday,36,Yes,No,Summer
6,Re20200907,2020-09-07,7,September,Monday,37,No,Labour Day,Summer
7,Re20200908,2020-09-08,8,September,Tuesday,37,No,No,Summer
8,Re20200909,2020-09-09,9,September,Wednesday,37,No,No,Summer
9,Re20200910,2020-09-10,10,September,Thursday,37,No,No,Summer
10,Re20200911,2020-09-11,11,September,Friday,37,No,No,Summer
11,Re20200912,2020-09-12,12,September,Saturday,37,Yes,No,Summer
12,Re20200913,2020-09-13,13,September,Sunday,37,Yes,No,Summer
13,Re20200914,2020-09-14,14,September,Monday,38,No,No,Summer
14,Re20200915,2020-09-15,15,September,Tuesday,38,No,No,Summer
15,Re20200916,2020-09-16,16,September,Wednesday,38,No,No,Summer
16,Re20200917,2020-09-17,17,September,Thursday,38,No,No,Summer
17,Re20200918,2020-09-18,18,September,Friday,38,No,No,Summer
18,Re20200919,2020-09-19,19,September,Saturday,38,Yes,No,Summer
19,Re20200920,2020-09-20,20,September,Sunday,38,Yes,No,Summer
20,Re20200921,2020-09-21,21,September,Monday,39,No,No,Summer
21,Re20200922,2020-09-22,22,September,Tuesday,39,No,No,Summer
22,Re20200923,2020-09-23,23,September,Wednesday,39,No,No,Autumn
23,Re20200924,2020-09-24,24,September,Thursday,39,No,No,Autumn
24,Re20200925,2020-09-25,25,September,Friday,39,No,No,Autumn
25,Re20200926,2020-09-26,26,September,Saturday,39,Yes,No,Autumn
26,Re20200927,2020-09-27,27,September,Sunday,39,Yes,No,Autumn
27,Re20200928,2020-09-28,28,September,Monday,40,No,No,Autumn
28,Re20200929,2020-09-29,29,September,Tuesday,40,No,No,Autumn
29,Re20200930,2020-09-30,30,September,Wednesday,40,No,No,Autumn
30,Re20201001,2020-10-01,1,October,Thursday,40,No,No,Autumn
31,Re20201002,2020-10-02,2,October,Friday,40,No,No,Autumn
32,Re20201003,2020-10-03,3,October,Saturday,40,Yes,No,Autumn
33,Re20201004,2020-10-04,4,October,Sunday,40,Yes,No,Autumn
34,Re20201005,2020-10-05,5,October,Monday,41,No,No,Autumn
35,Re20201006,2020-10-06,6,October,Tuesday,41,No,No,Autumn
36,Re20201007,2020-10-07,7,October,Wednesday,41,No,No,Autumn
37,Re20201008,2020-10-08,8,October,Thursday,41,No,No,Autumn
38,Re20201009,2020-10-09,9,October,Friday,41,No,No,Autumn
39,Re20201010,2020-10-10,10,October,Saturday,41,Yes,No,Autumn
40,Re20201011,2020-10-11,11,October,Sunday,41,Yes,No,Autumn
41,Re20201012,2020-10-12,12,October,Monday,42,No,Thanksgiving,Autumn
42,Re20201013,2020-10-13,13,October,Tuesday,42,No,No,Autumn
43,Re20201014,2020-10-14,14,October,Wednesday,42,No,No,Autumn
44,Re20201015,2020-10-15,15,October,Thursday,42,No,No,Autumn
45,Re20201016,2020-10-16,16,October,Friday,42,No,No,Autumn
46,Re20201017,2020-10-17,17,October,Saturday,42,Yes,No,Autumn
47,Re20201018,2020-10-18,18,October,Sunday,42,Yes,No,Autumn
48,Re20201019,2020-10-19,19,October,Monday,43,No,No,Autumn
49,Re20201020,2020-10-20,20,October,Tuesday,43,No,No,Autumn
50,Re20201021,2020-10-21,21,October,Wednesday,43,No,No,Autumn
