surrogate_key,Longitude,Latitude,Station_Name,Climate_ID,Date_Time,Max_Temp,Min_Temp,Mean_Temp,Total_Rain_mm,Total_Snow_cm,Total_Precip_mm,Weather_Key
0,-75.72,45.38,Ottawa,6105976,2020-09-01,25.0,13.0,19.0,0.0,0.0,0.0,610597620200901
1,-75.72,45.38,Ottawa,6105976,2020-09-02,27.0,19.5,23.3,7.0,0.0,7.0,610597620200902
2,-75.72,45.38,Ottawa,6105976,2020-09-03,24.5,14.0,19.3,2.0,0.0,2.0,610597620200903
3,-75.72,45.38,Ottawa,6105976,2020-09-04,21.0,12.0,16.5,0.4,0.0,0.4,610597620200904
4,-75.72,45.38,Ottawa,6105976,2020-09-05,21.0,9.0,15.0,2.4,0.0,2.4,610597620200905
5,-75.72,45.38,Ottawa,6105976,2020-09-06,20.5,8.5,14.5,0.0,0.0,0.0,610597620200906
6,-75.72,45.38,Ottawa,6105976,2020-09-07,25.0,11.0,18.0,1.0,0.0,1.0,610597620200907
7,-75.72,45.38,Ottawa,6105976,2020-09-08,19.0,10.0,14.5,3.2,0.0,3.2,610597620200908
8,-75.72,45.38,Ottawa,6105976,2020-09-09,16.0,12.5,14.3,3.2,0.0,3.2,610597620200909
9,-75.72,45.38,Ottawa,6105976,2020-09-10,15.5,12.0,13.8,0.0,0.0,0.0,610597620200910
10,-75.72,45.38,Ottawa,6105976,2020-09-11,17.5,8.5,13.0,0.0,0.0,0.0,610597620200911
11,-75.72,45.38,Ottawa,6105976,2020-09-12,21.0,5.0,13.0,1.4,0.0,1.4,610597620200912
12,-75.72,45.38,Ottawa,6105976,2020-09-13,22.0,14.5,18.3,6.4,0.0,6.4,610597620200913
13,-75.72,45.38,Ottawa,6105976,2020-09-14,15.0,9.5,12.3,0.0,0.0,0.0,610597620200914
14,-75.72,45.38,Ottawa,6105976,2020-09-15,16.5,2.5,9.5,0.0,0.0,0.0,610597620200915
15,-75.72,45.38,Ottawa,6105976,2020-09-16,22.5,8.0,15.3,0.0,0.0,0.0,610597620200916
16,-75.72,45.38,Ottawa,6105976,2020-09-17,14.5,9.5,12.0,0.0,0.0,0.0,610597620200917
17,-75.72,45.38,Ottawa,6105976,2020-09-18,14.0,3.0,8.5,0.0,0.0,0.0,610597620200918
18,-75.72,45.38,Ottawa,6105976,2020-09-19,13.5,1.5,7.5,0.0,0.0,0.0,610597620200919
